﻿Annual Maximum and Minimum Daily Discharge (m3/s) (PARAM = 1) and Annual Maximum and Minimum Daily Water Level (m) (PARAM = 2)
 ID,PARAM,Year,MM--DD,MAX,SYM,MM--DD,MIN,SYM
08ME023,1,1978,,,,,,
08ME023,1,1979,08--22,60.0,,02--01,0.300,B
08ME023,1,1980,07--23,52.9,,,,
08ME023,1,1981,08--11,61.9,,03--14,0.570,B
08ME023,1,1982,09--09,66.2,,05--01,0.365,B
08ME023,1,1983,07--13,61.9,,,,
08ME023,1,1984,10--08,180,,04--09,0.500,B
08ME023,1,1985,07--23,62.7,,03--20,0.300,B
08ME023,1,1986,09--02,52.5,,03--21,0.288,B
08ME023,1,1987,07--02,54.4,,03--26,0.436,B
08ME023,1,1988,09--06,56.5,,02--28,0.460,B
08ME023,1,1989,08--01,58.1,,03--23,0.545,B
08ME023,1,1990,08--11,68.3,,02--18,0.420,B
08ME023,1,1991,08--09,99.0,,04--10,0.520,B
08ME023,1,1992,06--29,60.9,,12--31,0.520,B
08ME023,1,1993,08--23,61.2,,01--09,0.375,B
08ME023,1,1994,07--25,68.6,,02--26,0.290,B
08ME023,1,1995,07--26,63.5,,02--16,0.470,B
08ME023,1,1996,08--30,49.2,,12--28,0.670,B
08ME023,1,1997,08--14,56.9,,04--20,0.507,B
08ME023,1,1998,07--29,76.2,,03--04,0.594,B
08ME023,1,1999,08--25,76.8,,01--26,0.245,
08ME023,1,2000,07--28,59.9,,03--24,0.470,B
08ME023,1,2001,08--22,50.8,,03--22,0.520,B
08ME023,1,2002,07--26,61.5,,03--17,0.500,B
08ME023,1,2003,08--01,55.2,,03--07,0.520,B
08ME023,1,2004,08--16,59.3,,01--05,0.480,B
08ME023,1,2005,08--01,63.0,,01--16,0.570,B
08ME023,1,2006,07--24,67.4,,02--25,0.550,B
08ME023,1,2007,07--23,66.5,,01--11,0.440,B
08ME023,1,2008,07--06,57.8,,12--20,0.400,B
08ME023,1,2009,07--31,80.3,,01--25,0.520,B
08ME023,1,2010,09--28,63.7,,01--06,0.650,B
08ME023,1,2011,09--24,67.5,,04--18,0.302,B
08ME023,1,2012,07--18,57.9,,04--19,0.242,B
08ME023,1,2013,08--06,65.9,,02--17,0.659,B
08ME023,1,2014,07--19,62.8,,02--07,0.163,B
08ME023,1,2015,07--20,59.7,,01--04,1.02,B
08ME023,1,2016,07--29,52.7,,03--19,0.745,B
08ME023,1,2017,08--12,51.9,,04--27,0.372,B
08ME023,1,2018,08--01,56.2,,04--02,0.904,B
08ME023,1,2019,08--02,57.0,,11--28,0.463,B
08ME023,1,2020,08--22,58.3,,01--13,0.623,B
08ME023,1,2021,06--30,80.1,,12--27,0.429,B
08ME023,1,2022,07--29,61.8,,01--01,0.735,B
