﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,Date,Value,SYM
08ME023,1,1978/07/04,44.2,A
08ME023,1,1978/09/28,18.3,A
08ME023,1,1978/09/29,19.1,
08ME023,1,1978/09/30,21.6,
08ME023,1,1978/10/01,19.4,
08ME023,1,1978/10/02,14.8,
08ME023,1,1978/10/03,13.6,
08ME023,1,1978/10/04,12.1,
08ME023,1,1978/10/05,10.5,
08ME023,1,1978/10/06,11.1,
08ME023,1,1978/10/07,12.5,
08ME023,1,1978/10/08,14.2,
08ME023,1,1978/10/09,19.3,
08ME023,1,1978/10/10,19.4,
08ME023,1,1978/10/11,14.0,
08ME023,1,1978/10/12,9.06,
08ME023,1,1978/10/13,6.32,
08ME023,1,1978/10/14,5.68,
08ME023,1,1978/10/15,6.13,
08ME023,1,1978/10/16,7.98,
08ME023,1,1978/10/17,9.11,
08ME023,1,1978/10/18,9.27,
08ME023,1,1978/10/19,10.3,
08ME023,1,1978/10/20,11.5,
08ME023,1,1978/10/21,9.91,
08ME023,1,1978/10/22,6.73,
08ME023,1,1978/10/23,8.27,
08ME023,1,1978/10/24,4.53,B
08ME023,1,1978/10/25,3.68,B
08ME023,1,1978/10/26,3.11,B
08ME023,1,1978/10/27,2.72,B
08ME023,1,1978/10/28,2.46,B
08ME023,1,1978/10/29,2.29,B
08ME023,1,1978/10/30,2.18,B
08ME023,1,1978/10/31,2.10,B
08ME023,1,1978/11/01,2.04,B
08ME023,1,1978/11/02,1.98,B
08ME023,1,1978/11/03,1.95,B
08ME023,1,1978/11/04,1.90,B
08ME023,1,1978/11/05,1.84,B
08ME023,1,1978/11/06,1.78,B
08ME023,1,1978/11/07,1.73,B
08ME023,1,1978/11/08,1.67,B
08ME023,1,1978/11/09,1.61,B
08ME023,1,1978/11/10,1.59,B
08ME023,1,1978/11/11,1.56,B
08ME023,1,1978/11/12,1.53,B
08ME023,1,1978/11/13,1.47,B
08ME023,1,1978/11/14,1.44,B
08ME023,1,1978/11/15,1.42,B
08ME023,1,1978/11/16,1.39,B
08ME023,1,1978/11/17,1.36,B
08ME023,1,1978/11/18,1.30,B
08ME023,1,1978/11/19,1.27,B
08ME023,1,1978/11/20,1.25,B
08ME023,1,1978/11/21,1.22,B
08ME023,1,1978/11/22,1.19,B
08ME023,1,1978/11/23,1.16,B
08ME023,1,1978/11/24,1.13,B
08ME023,1,1978/11/25,1.09,B
08ME023,1,1978/11/26,1.05,B
08ME023,1,1978/11/27,1.02,B
08ME023,1,1978/11/28,0.977,B
08ME023,1,1978/11/29,0.934,B
08ME023,1,1978/11/30,0.892,B
08ME023,1,1978/12/01,0.850,B
08ME023,1,1978/12/02,0.821,B
08ME023,1,1978/12/03,0.793,B
08ME023,1,1978/12/04,0.753,B
08ME023,1,1978/12/05,0.708,B
08ME023,1,1978/12/06,0.680,B
08ME023,1,1978/12/07,0.651,B
08ME023,1,1978/12/08,0.623,B
08ME023,1,1978/12/09,0.595,B
08ME023,1,1978/12/10,0.566,B
08ME023,1,1978/12/11,0.547,B
08ME023,1,1978/12/12,0.524,B
08ME023,1,1978/12/13,0.510,B
08ME023,1,1978/12/14,0.496,B
08ME023,1,1978/12/15,0.481,B
08ME023,1,1978/12/16,0.467,B
08ME023,1,1978/12/17,0.453,B
08ME023,1,1978/12/18,0.439,B
08ME023,1,1978/12/19,0.425,B
08ME023,1,1978/12/20,0.411,B
08ME023,1,1978/12/21,0.396,B
08ME023,1,1978/12/22,0.388,B
08ME023,1,1978/12/23,0.379,B
08ME023,1,1978/12/24,0.368,B
08ME023,1,1978/12/25,0.357,B
08ME023,1,1978/12/26,0.351,B
08ME023,1,1978/12/27,0.345,B
08ME023,1,1978/12/28,0.340,B
08ME023,1,1978/12/29,0.331,B
08ME023,1,1978/12/30,0.328,B
08ME023,1,1978/12/31,0.326,B
08ME023,1,1979/01/01,0.320,B
08ME023,1,1979/01/02,0.320,B
08ME023,1,1979/01/03,0.317,B
08ME023,1,1979/01/04,0.317,B
08ME023,1,1979/01/05,0.314,B
08ME023,1,1979/01/06,0.314,B
08ME023,1,1979/01/07,0.311,B
08ME023,1,1979/01/08,0.311,B
08ME023,1,1979/01/09,0.309,B
08ME023,1,1979/01/10,0.309,B
08ME023,1,1979/01/11,0.306,B
08ME023,1,1979/01/12,0.306,B
08ME023,1,1979/01/13,0.306,B
08ME023,1,1979/01/14,0.303,B
08ME023,1,1979/01/15,0.303,B
08ME023,1,1979/01/16,0.303,B
08ME023,1,1979/01/17,0.303,B
08ME023,1,1979/01/18,0.303,B
08ME023,1,1979/01/19,0.303,B
08ME023,1,1979/01/20,0.303,B
08ME023,1,1979/01/21,0.303,B
08ME023,1,1979/01/22,0.303,B
08ME023,1,1979/01/23,0.303,B
08ME023,1,1979/01/24,0.303,B
08ME023,1,1979/01/25,0.303,B
08ME023,1,1979/01/26,0.303,B
08ME023,1,1979/01/27,0.303,B
08ME023,1,1979/01/28,0.303,B
08ME023,1,1979/01/29,0.303,B
08ME023,1,1979/01/30,0.303,B
08ME023,1,1979/01/31,0.303,B
08ME023,1,1979/02/01,0.300,B
08ME023,1,1979/02/02,0.300,B
08ME023,1,1979/02/03,0.300,B
08ME023,1,1979/02/04,0.300,B
08ME023,1,1979/02/05,0.300,B
08ME023,1,1979/02/06,0.300,B
08ME023,1,1979/02/07,0.300,B
08ME023,1,1979/02/08,0.300,B
08ME023,1,1979/02/09,0.300,B
08ME023,1,1979/02/10,0.300,B
08ME023,1,1979/02/11,0.300,B
08ME023,1,1979/02/12,0.300,B
08ME023,1,1979/02/13,0.300,B
08ME023,1,1979/02/14,0.300,B
08ME023,1,1979/02/15,0.300,B
08ME023,1,1979/02/16,0.300,B
08ME023,1,1979/02/17,0.300,B
08ME023,1,1979/02/18,0.300,B
08ME023,1,1979/02/19,0.300,B
08ME023,1,1979/02/20,0.300,B
08ME023,1,1979/02/21,0.300,B
08ME023,1,1979/02/22,0.300,B
08ME023,1,1979/02/23,0.300,B
08ME023,1,1979/02/24,0.300,B
08ME023,1,1979/02/25,0.300,B
08ME023,1,1979/02/26,0.300,B
08ME023,1,1979/02/27,0.300,B
08ME023,1,1979/02/28,0.300,B
08ME023,1,1979/03/01,0.300,B
08ME023,1,1979/03/02,0.300,B
08ME023,1,1979/03/03,0.300,B
08ME023,1,1979/03/04,0.300,B
08ME023,1,1979/03/05,0.300,B
08ME023,1,1979/03/06,0.300,B
08ME023,1,1979/03/07,0.300,B
08ME023,1,1979/03/08,0.300,B
08ME023,1,1979/03/09,0.300,B
08ME023,1,1979/03/10,0.300,B
08ME023,1,1979/03/11,0.300,B
08ME023,1,1979/03/12,0.300,B
08ME023,1,1979/03/13,0.303,B
08ME023,1,1979/03/14,0.303,B
08ME023,1,1979/03/15,0.303,B
08ME023,1,1979/03/16,0.303,B
08ME023,1,1979/03/17,0.303,B
